"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10pF","footprint:C0402",""
"2","C2","1","10nF","footprint:C0402",""
"3","C3","1","100nF","footprint:C0402",""
"4","H1, H2","2","MountingHole","MountingHole:MountingHole_2.2mm_M2",""
"5","J1","1","Conn_01x04_Pin","solderconnectors:SolderConnector 3x1mm 03x01",""
"6","JP1","1","Toggle","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"7","LED1","1","White","footprint:LED-SMD_L3.2-W1.6-RD-EH_WHITE",""
"8","Q2","1","~","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",""
"9","R1","1","1k","footprint:R0402",""
"10","R2","1","2k","footprint:R0402",""
"11","U1","1","TTP233H-BA6","footprint:SOT-23-6_L2.9-W1.7-P0.95-LS2.8-BL",""
